Activity,Employee Index Number
LMS-1335-2,535812
LMS-1335-2,400813
LMS-1335-2,693245
LMS-1336-1,856649
LMS-1336-1,100424
LMS-1335-2,500842
LMS-1335-2,879550
LMS-1335-2,211929
LMS-1335-2,781385
LMS-1335-2,153988
LMS-1336-1,346880
LMS-1336-1,407338
LMS-1336-1,879654
LMS-1336-1,239588
LMS-1336-1,247069
LMS-1336-1,785722
LMS-1336-1,674199
LMS-1335-2,804271
LMS-1335-2,938824
LMS-1335-2,900279
LMS-1335-2,336770
LMS-1335-2,100205
LMS-1335-2,239588
LMS-1335-2,740852
LMS-1335-2,247069
LMS-1336-1,409181
LMS-1336-1,368822
LMS-1336-1,678432
LMS-1336-1,288076
LMS-1336-1,601878
LMS-1336-1,794433
LMS-1336-1,317078
LMS-1336-1,796114
LMS-1336-1,169429
LMS-1336-1,153653
LMS-1336-1,366484
LMS-1335-3,584746
LMS-1335-3,692990
LMS-1335-3,581817
LMS-1335-3,817547
LMS-1335-3,863884
LMS-1335-3,494933
LMS-1335-3,399744
LMS-1335-3,651774
LMS-1335-3,474602
LMS-1335-3,975473
LMS-1335-3,700324
LMS-1335-3,835761
LMS-1335-3,172638
LMS-1335-3,942512
LMS-1335-3,950357
LMS-1335-3,574466
LMS-1335-3,603167
LMS-1335-3,389303
LMS-1335-3,144897
LMS-1335-3,134187
LMS-1335-3,505639
LMS-1335-3,337225
LMS-1335-3,748457
LMS-1335-3,583097
LMS-1335-3,392992
LMS-1335-3,706778
LMS-1335-3,117627
LMS-1335-3,263115
LMS-1335-3,82486
LMS-1335-3,753501
LMS-1335-3,872750
LMS-1335-3,474663
LMS-1335-3,741354
LMS-1335-3,352149
LMS-1336-1,367299
LMS-1336-1,331098
LMS-1336-1,96862
LMS-1336-1,134596
LMS-1336-1,454575
LMS-1336-1,729241
LMS-1336-1,825624
LMS-1336-1,857266
LMS-1336-1,75369
LMS-1336-1,565977
LMS-1336-1,684383
LMS-1336-1,741354
LMS-1336-1,351515
LMS-1336-1,370239
LMS-1336-1,465537
LMS-1336-1,351693
LMS-1336-1,920824
LMS-1336-1,667560
LMS-1336-1,877494
LMS-1336-1,596055
LMS-1336-1,952482
LMS-1336-1,851315
LMS-1336-1,851669
LMS-1335-2,560140
LMS-1335-2,886504
LMS-1335-2,74234
LMS-1335-2,654922
LMS-1344-2,741322
LMS-1344-2,436565
LMS-1344-2,433372
LMS-1345-1,331926
LMS-1345-1,678697
LMS-1345-1,
LMS-1345-1,920824
LMS-1346-1,645835
LMS-1346-1,331926
LMS-1346-1,211929
LMS-1346-1,674199
LMS-1346-1,
LMS-1346-1,406469
LMS-1335-2,339813
LMS-1335-2,230707
LMS-1336-1,294407
LMS-1335-2,417175
LMS-1335-2,414656
LMS-1335-2,288076
LMS-1336-1,653153
LMS-1335-2,911517
LMS-1335-2,166400
LMS-1335-2,122304
LMS-1335-2,169429
LMS-1335-2,870510
LMS-1335-2,366532
LMS-1335-3,348393
LMS-1335-3,290597
LMS-1335-3,825893
LMS-1335-3,750281
LMS-1335-3,596055
LMS-1335-3,583993
LMS-1335-3,949989
LMS-1335-3,851315
LMS-1335-3,851669
LMS-1335-3,416204
LMS-1335-3,367299
LMS-1335-3,331098
LMS-1335-3,96862
LMS-1335-2,134596
LMS-1335-2,454575
LMS-1335-2,741322
LMS-1336-1,339333
LMS-1336-1,306183
LMS-1336-1,555147
LMS-1336-1,577093
LMS-1336-1,200148
LMS-1336-1,6854
LMS-1336-1,183276
LMS-1336-1,399744
LMS-1336-1,937170
LMS-1336-1,834697
LMS-1336-1,833007
LMS-1336-1,700324
LMS-1336-1,835761
LMS-1336-1,704019
LMS-1336-1,172638
LMS-1336-1,950357
LMS-1336-1,947747
LMS-1336-1,744187
LMS-1336-1,345974
LMS-1336-1,603167
LMS-1336-1,445215
LMS-1336-1,70972
LMS-1336-1,505639
LMS-1336-1,121313
LMS-1336-1,337225
LMS-1336-1,143747
LMS-1336-1,977515
LMS-1336-1,280813
LMS-1344-2,406469
LMS-1344-2,239588
LMS-1344-2,100205
LMS-1344-2,331926
LMS-1344-2,
LMS-1338-1,833095
LMS-1338-1,565470
LMS-1338-1,399643
LMS-1338-1,465537
LMS-1342-1,990304
LMS-1342-1,367299
LMS-1342-1,646562
LMS-1342-1,436565
LMS-1342-1,140927
LMS-1342-1,399643
LMS-1344-2,747233
LMS-1344-2,700324
LMS-1344-2,835761
LMS-1338-1,698407
LMS-1338-1,303229
LMS-1338-1,835761
LMS-1338-1,143787
LMS-1338-1,427292
LMS-1338-1,454150
LMS-1344-2,539499
LMS-1344-2,204463
LMS-1344-2,134187
LMS-1344-2,238457
LMS-1344-2,941722
LMS-1344-2,337225
LMS-1338-1,850730
LMS-1338-1,673718
LMS-1338-1,144897
LMS-1338-1,684383
LMS-1338-1,348393
LMS-1338-1,857266
LMS-1338-1,600972
LMS-1339-1,143787
LMS-1342-1,815141
LMS-1342-1,937170
LMS-1342-1,700324
LMS-1342-1,338783
LMS-1342-1,565977
LMS-1344-2,837094
LMS-1344-2,280813
LMS-1344-2,632176
LMS-1344-2,675305
LMS-1344-2,667560
LMS-1344-2,872750
LMS-1342-1,857266
LMS-1342-1,600972
LMS-1342-1,952482
LMS-1342-1,583993
LMS-1344-2,684383
LMS-1347-1,863884
LMS-1347-1,577093
LMS-1347-1,825173
LMS-1347-1,683631
LMS-1349-1,494933
LMS-1349-1,200148
LMS-1349-1,833007
LMS-1349-1,825173
LMS-1349-1,683631
LMS-1349-1,520154
LMS-1349-1,487562
LMS-1344-2,857266
LMS-1344-2,65477
LMS-1345-1,706870
LMS-1345-1,343490
LMS-1345-1,939362
LMS-1345-1,360318
LMS-1345-1,837094
LMS-1345-1,932239
LMS-1345-1,837270
LMS-1345-1,392992
LMS-1345-1,710468
LMS-1345-1,675305
LMS-1346-1,966298
LMS-1346-1,172638
LMS-1346-1,942512
LMS-1345-1,94016
LMS-1354-2,417230
LMS-1354-2,848951
LMS-1354-2,712848
LMS-1354-2,960347
LMS-1354-2,830623
LMS-1354-2,
LMS-1354-2,851315
LMS-1354-2,851669
LMS-1354-2,990304
LMS-1354-2,649306
LMS-1354-2,331098
LMS-1354-2,565470
LMS-1354-2,284198
LMS-1354-2,294093
LMS-1354-2,953424
LMS-1354-2,86411
LMS-1354-2,363178
LMS-1354-2,465537
LMS-1354-2,675373
LMS-1354-2,741322
LMS-1354-2,140904
LMS-1354-2,698407
LMS-1354-2,617257
LMS-1354-2,692990
LMS-1354-2,306183
LMS-1354-2,555147
LMS-1354-2,683631
LMS-1354-2,487562
LMS-1354-2,704019
LMS-1354-2,267101
LMS-1354-2,63951
LMS-1354-2,172638
LMS-1354-2,930911
LMS-1354-2,129829
LMS-1354-2,744187
LMS-1354-2,302642
LMS-1354-2,389316
LMS-1354-2,389303
LMS-1354-2,204463
LMS-1354-2,416361
LMS-1354-2,748457
LMS-1354-2,837094
LMS-1354-2,392992
LMS-1354-2,202665
LMS-1354-2,611080
LMS-1354-2,143747
LMS-1354-2,872750
LMS-1354-2,351515
LMS-1354-2,
LMS-1354-2,474663
LMS-1354-2,290597
LMS-1354-2,64704
LMS-1355-1,6531
LMS-1355-1,
LMS-1355-1,125315
LMS-1355-1,675373
LMS-1355-1,920824
LMS-1355-1,581817
LMS-1355-1,306183
LMS-1355-1,747233
LMS-1355-1,817547
LMS-1355-1,200148
LMS-1355-1,6854
LMS-1355-1,399744
LMS-1355-1,613157
LMS-1355-1,594914
LMS-1335-2,834811
LMS-1335-2,263079
LMS-1335-2,848951
LMS-1335-2,960347
LMS-1335-2,459461
LMS-1335-2,388785
LMS-1335-2,644290
LMS-1336-1,379770
LMS-1336-1,533576
LMS-1336-1,654922
LMS-1336-1,44827
LMS-1336-1,653214
LMS-1336-1,834811
LMS-1336-1,215108
LMS-1336-1,848951
LMS-1335-3,256380
LMS-1345-1,256380
LMS-1326-3,700324
LMS-1326-3,747948
LMS-1326-3,877494
LMS-1326-3,583993
LMS-1335-3,599070
LMS-1336-1,413358
LMS-1352-1,443756
LMS-1349-1,443756
LMS-1347-1,460699
LMS-1347-1,228323
LMS-1347-1,848951
LMS-1347-1,960347
LMS-1347-1,973703
LMS-1338-1,654922
LMS-1338-1,540496
LMS-1338-1,533576
LMS-1338-1,560140
LMS-1338-1,194572
LMS-1338-1,74234
LMS-1338-1,886504
LMS-1498-2,714307
LMS-1499-1,589022
LMS-1304-1,388785
LMS-1304-1,417230
LMS-1498-3,827050
LMS-1308-4,282973
LMS-1308-4,846201
LMS-1308-4,565977
LMS-1327-1,747233
LMS-1308-5,698407
LMS-1328-2,416361
LMS-1328-2,932239
LMS-1328-2,837270
LMS-1328-2,392992
LMS-1308-5,143787
LMS-1302-4,704019
LMS-1327-2,817547
LMS-1302-5,282973
LMS-1302-5,267101
LMS-1302-5,850730
LMS-1355-1,684368
LMS-1347-1,417230
LMS-1355-1,766711
LMS-1355-1,287056
LMS-1355-1,942512
LMS-1355-1,129829
LMS-1355-1,204463
LMS-1355-1,70972
LMS-1355-1,238457
LMS-1355-1,505639
LMS-1355-1,121313
LMS-1355-1,706079
LMS-1355-1,748457
LMS-1355-1,939362
LMS-1355-1,744390
LMS-1355-1,360318
LMS-1355-1,837094
LMS-1355-1,837270
LMS-1355-1,489698
LMS-1355-1,202665
LMS-1355-1,258010
LMS-1355-1,675305
LMS-1355-1,263115
LMS-1355-1,753501
LMS-1355-1,
LMS-1355-1,653153
LMS-1355-1,352149
LMS-1355-1,565977
LMS-1355-1,348393
LMS-1355-1,857266
LMS-1355-1,583050
LMS-1355-1,750281
LMS-1355-1,711597
LMS-1335-2,678784
LMS-1335-2,89342
LMS-1344-2,583993
LMS-1487-1,153988
LMS-1325-2,490657
LMS-1325-2,674199
LMS-1325-2,406469
LMS-1328-1,
LMS-1335-3,936906
LMS-1335-3,693500
LMS-1336-1,936906
LMS-1339-1,936906
LMS-1339-1,942070
LMS-1339-1,310178
LMS-1354-2,937170
LMS-1336-1,726958
LMS-1304-2,937170
LMS-1304-2,475464
LMS-1304-2,200148
LMS-1304-2,520154
LMS-1320-9,835761
LMS-1320-9,280813
LMS-1329-2,581817
LMS-1354-2,100205
LMS-1344-2,645835
LMS-1328-3,748457
LMS-1323-3,825173
LMS-1323-3,487562
LMS-1324-2,942070
LMS-1324-2,584181
LMS-1304-2,474602
LMS-1336-1,620295
LMS-1354-2,510651
LMS-1355-1,833095
LMS-1355-1,416204
LMS-1356-1,898631
LMS-1349-1,433505
LMS-1352-1,433505
LMS-1334-2,577093
LMS-1334-2,698407
LMS-1334-2,474602
LMS-1308-6,584746
LMS-1308-6,585359
LMS-1308-6,583993
LMS-1302-8,705183
LMS-1302-8,834697
LMS-1302-8,833007
LMS-1302-8,584181
LMS-1335-2,571495
LMS-1335-2,409181
LMS-1335-2,795828
LMS-1335-2,283306
LMS-1335-2,536197
LMS-1335-2,762962
LMS-1336-1,749140
LMS-1336-1,879550
LMS-1335-2,211842
LMS-1335-2,51565
LMS-1336-1,6531
LMS-1336-1,653142
LMS-1335-2,794433
LMS-1335-2,919760
LMS-1335-2,796114
LMS-1336-1,525953
LMS-1335-2,864862
LMS-1335-2,373212
LMS-1335-2,900432
LMS-1336-1,153988
LMS-1336-1,804271
LMS-1335-2,9682
LMS-1335-2,294407
LMS-1335-2,490657
LMS-1335-2,946724
LMS-1335-2,247309
LMS-1335-2,323994
LMS-1336-1,38531
LMS-1336-1,103054
LMS-1336-1,20384
LMS-1336-1,946724
LMS-1336-1,678697
LMS-1336-1,211224
LMS-1336-1,850868
LMS-1335-2,406469
LMS-1335-2,400856
LMS-1335-2,100424
LMS-1335-2,250891
LMS-1335-2,414700
LMS-1335-2,767539
LMS-1335-2,103054
LMS-1335-2,767241
LMS-1335-2,508107
LMS-1336-1,795828
LMS-1336-1,675292
LMS-1336-1,536197
LMS-1336-1,762962
LMS-1336-1,471697
LMS-1336-1,451604
LMS-1336-1,712259
LMS-1336-1,822885
LMS-1336-1,373212
LMS-1336-1,198999
LMS-1336-1,366532
LMS-1336-1,846051
LMS-1336-1,900432
LMS-1352-1,863884
LMS-1352-1,817547
LMS-1443-1,827050
LMS-1443-1,129829
LMS-1443-1,750599
LMS-1443-1,600972
LMS-1334-2,825173
LMS-1355-1,585359
LMS-1344-2,585359
LMS-1344-2,932239
LMS-1336-1,751015
LMS-1346-1,82486
LMS-1346-1,290597
LMS-1346-1,706870
LMS-1443-1,747233
LMS-1443-1,704019
LMS-1335-3,282973
LMS-1335-3,344008
LMS-1335-3,815141
LMS-1335-3,698407
LMS-1335-3,617257
LMS-1335-3,706870
LMS-1335-3,352050
LMS-1335-3,306183
LMS-1335-3,827050
LMS-1335-3,555147
LMS-1335-3,747233
LMS-1335-3,577093
LMS-1335-3,942070
LMS-1335-3,833007
LMS-1335-3,683631
LMS-1335-3,520154
LMS-1335-3,487562
LMS-1335-3,267101
LMS-1335-3,707855
LMS-1335-3,594914
LMS-1335-3,744187
LMS-1335-3,726958
LMS-1335-3,585359
LMS-1335-3,850730
LMS-1335-3,673718
LMS-1335-3,941722
LMS-1335-3,121313
LMS-1335-3,706079
LMS-1335-3,343490
LMS-1335-3,939362
LMS-1335-3,360318
LMS-1335-3,489698
LMS-1335-3,199557
LMS-1335-3,
LMS-1335-3,351515
LMS-1335-3,684383
LMS-1335-3,61411
LMS-1335-3,729241
LMS-1335-3,6531
LMS-1335-3,904092
LMS-1335-3,600972
LMS-1335-3,65477
LMS-1335-3,649306
LMS-1335-3,308506
LMS-1335-2,240652
LMS-1335-2,495954
LMS-1335-2,953424
LMS-1335-2,370239
LMS-1335-2,138973
LMS-1335-2,920824
LMS-1335-2,38047
LMS-1336-1,698407
LMS-1336-1,584746
LMS-1336-1,683750
LMS-1336-1,692990
LMS-1336-1,137786
LMS-1336-1,747233
LMS-1336-1,817547
LMS-1336-1,705183
LMS-1336-1,942070
LMS-1336-1,977588
LMS-1336-1,683631
LMS-1336-1,487562
LMS-1336-1,975473
LMS-1336-1,475464
LMS-1336-1,846201
LMS-1336-1,594914
LMS-1336-1,143787
LMS-1336-1,942512
LMS-1336-1,930911
LMS-1336-1,574466
LMS-1336-1,427292
LMS-1336-1,714307
LMS-1443-1,667560
LMS-1443-1,706079
LMS-1354-2,606729
LMS-1443-1,70972
LMS-1443-1,290597
LMS-1443-1,121313
LMS-1443-1,348393
LMS-1443-1,565977
LMS-1443-1,759167
LMS-1443-1,603167
LMS-1336-1,651774
LMS-1354-2,705183
LMS-1309-3,486083
LMS-1309-3,906939
LMS-1303-4,684368
LMS-1303-4,454150
LMS-1303-4,583993
LMS-1303-4,859013
LMS-1332-2,817547
LMS-1332-2,977588
LMS-1332-2,726958
LMS-1332-2,574466
LMS-1332-2,581817
LMS-1332-2,683750
LMS-1332-2,705183
LMS-1303-1,309033
LMS-1303-1,79717
LMS-1303-1,833095
LMS-1302-1,654922
LMS-1304-1,960347
LMS-1304-1,450084
LMS-1354-2,53271
LMS-1354-2,599963
LMS-1354-2,385236
LMS-1342-1,2383
LMS-1347-1,830623
LMS-1338-1,450084
LMS-1352-1,345974
LMS-1344-2,290597
LMS-1344-2,64704
LMS-1344-2,61411
LMS-1345-1,200148
LMS-1345-1,6854
LMS-1345-1,539499
LMS-1345-1,599070
LMS-1345-1,121313
LMS-1345-1,706079
LMS-1345-1,748457
LMS-1345-1,744390
LMS-1345-1,202665
LMS-1345-1,600972
LMS-1346-1,585312
LMS-1346-1,287056
LMS-1346-1,950357
LMS-1346-1,851315
LMS-1344-2,256380
LMS-1355-1,256380
LMS-1326-3,589022
LMS-1326-3,706870
LMS-1326-3,565874
LMS-1326-3,817547
LMS-1326-3,835761
LMS-1349-1,406891
LMS-1347-1,450084
LMS-1347-1,126168
LMS-1347-1,712848
LMS-1347-1,644290
LMS-1347-1,385236
LMS-1347-1,263248
LMS-1354-2,834697
LMS-1344-2,427292
LMS-1336-1,302642
LMS-1330-2,487562
LMS-1335-3,919760
LMS-1345-1,919760
LMS-1309-4,257716
LMS-1309-4,289010
LMS-1303-4,577093
LMS-1303-4,303229
LMS-1327-1,827050
LMS-1327-2,310178
LMS-1327-2,348393
LMS-1308-5,729241
LMS-1328-2,202665
LMS-1302-4,589022
LMS-1302-4,539499
LMS-1328-2,134187
LMS-1320-9,62752
LMS-1302-4,89342
LMS-1322-3,585312
LMS-1302-5,344008
LMS-1302-5,684368
LMS-1303-3,729241
LMS-1335-2,555556
LMS-1336-1,435316
LMS-1443-1,267101
LMS-1443-1,714307
LMS-1443-1,454150
LMS-1443-1,389316
LMS-1443-1,729241
LMS-1443-1,949989
LMS-1355-1,714307
LMS-1336-1,389303
LMS-1355-1,751015
LMS-1354-2,399744
LMS-1342-1,427292
LMS-1342-1,61411
LMS-1342-1,267101
LMS-1336-1,303229
LMS-1443-1,352050
