CDOMAIN,CDOMAINDESCR,CLMS,CDESCRIPTION,CLOCATION,CDATE,NOOFPARTICIPANTS
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,BNUB,25/02/2014,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,ECA,14/09/2015,24
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,ECLAC,20/10/2015,9
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,ESCAP,04/10/2016,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,ESCWA,17/09/2015,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,20/04/2015,13
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,28/05/2015,17
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,31/08/2015,64
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,14/09/2015,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,30/09/2015,9
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,22/10/2015,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Geneva Learning Environment,04/11/2015,8
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,MINUSMA,14/03/2014,2
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,New York,24/09/2015,26
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNAMID,26/10/2013,18
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNFICYP,07/10/2013,10
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNGSC,30/09/2013,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNGSC,28/10/2013,1
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNGSC,29/04/2014,1
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNIOGBIS,19/02/2014,3
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNMOGIP,27/02/2014,7
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNON,20/05/2015,58
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,16/06/2015,1
