"LMS-2448","Umoja Distance Learning: Inbound Deliveries and Goods Receipt","The Umoja Distance Learning program offers interactive transaction-level training to users in remote locations. It includes a blend of self-study material and virtual training sessions moderated by an Umoja instructor.","Active","Logistics Execution","SC406","2017-02-03T13:23:49.160"
"LMS-1941","Umoja Equipment Write-Off and Disposal","The Umoja Equipment Write-Off and Disposal course lists the key roles and responsibilities in the Decommission and Disposal process. <LMS-1941>","Inactive","Logistics Execution","SC361","2017-02-03T13:23:49.160"
"LMS-1944","Umoja Inbound Goods Process (Receiving User)","TBD","Inactive","Logistics Execution","SC362","2017-02-03T13:23:49.160"
"LMS-1955","Umoja Create Shipments of Personal Items Request","TBD","Inactive","Travel Management","TV3146","2017-02-03T13:23:49.160"
"LMS-2246","Umoja Local Process Expert in Inspira Administration","Umoja Local Process Expert in Inspira Administration","Active","Umoja General","LPE","2017-02-03T13:23:49.160"
"LMS-1994","Umoja Academy First Level Managers Training - Functional Area Deep Dive in Financial Accounting","Umoja Academy A3 in Financial Accounting","Active","Financial Accounting","A3","2017-02-03T13:23:49.160"
"LMS-2000","Umoja ESS Tutorial on Submitting Leave","Submit annual leave and similar leave for reverse education grant travel, home leave, family visit, CTO use and compressed regular day off. <LMS-2000>","Active","Tutorials","Tutorial","2017-02-03T13:23:49.160"
"LMS-2004","Umoja MSS Tutorial on Assigning a Secondary Time Manager","TBD","Active","Tutorials","Tutorial","2017-02-03T13:23:49.160"
"LMS-2273","Umoja Distance Learning: Service Entry Sheets","The Umoja Distance Learning program offers interactive transaction-level training to users in remote locations. It includes a blend of self-study material and virtual training sessions moderated by an Umoja instructor.","Active","Source to Acquire","Umoja","2017-02-03T13:23:49.160"
"LMS-1754","Umoja Travel for HR Partner (on behalf role)","TBD","Inactive","Human Resources Administration","Umoja Trav","2017-02-03T13:23:49.160"
"LMS-1756","Umoja Integration Pilot: Employee Self-Service (ESS) - Time Management","TBD","Inactive","ESS / MSS","Umoja Empl","2017-02-03T13:23:49.160"
"LMS-1766","Umoja Integrated Pilot: Administration of Uniformed Personnel","TBD","Inactive","Human Resources Administration","Umoja Time","2017-02-03T13:23:49.160"
"LMS-1529","Umoja Requesting Services of Consultants and IC's Process","Umoja Requesting Services of Consultants and Independent Contractors outlines the key roles and responsibilities involved in the Requesting Services for Consultants and Independent Contractors process. <LMS-1529>","Active","Human Resources Administration","SC341","2017-02-03T13:23:49.160"
"LMS-1932","Umoja Equipment Management","The purpose of the Umoja Equipment Management course is to explain the equipment assignment and management process in Umoja. <LMS-1932>","Inactive","Services Delivery and Property Management","SC335","2017-02-03T13:23:49.160"
"LMS-1934","Umoja Corrective Maintenance","The purpose of the Umoja Corrective Maintenance course is to explain the process to carry out one-time maintenance of equipment and functional location. <LMS-1934>","Inactive","Services Delivery and Property Management","SC337","2017-02-03T13:23:49.160"
"LMS-1936","Umoja Business Partner – Third Party","TBD","Inactive","Master Data Management","MD347","2017-02-03T13:23:49.160"
"LMS-1937","Umoja Business Partner – Commercial Maintenance","The purpose of the Umoja Business Partner – UNGM Maintenance course to explain the Master Data maintenance activities related to commercial Business Partners (BP’s) migrated from United Nations Global Marketplace (UNGM) to Umoja. <LMS-1937>","Inactive","Master Data Management","MD349","2017-02-03T13:23:49.160"
"LMS-1945","Umoja Inventory Counting and Controlling (Warehouse Management)","TBD","Inactive","Logistics Execution","SC363","2017-02-03T13:23:49.160"
"LMS-1950","Umoja Accounts Receivable for Services Delivery","TBD","Inactive","Financial Accounting","SD374","2017-02-03T13:23:49.160"
"LMS-1953","Umoja Create Travel Request – HR Travel and Entitlements","TBD","Inactive","Travel Management","TV3144","2017-02-03T13:23:49.160"
"LMS-1954","Umoja Create Travel Request for Uniformed Personnel","The Create Travel Request for Uniformed Personnel course provides participants with the knowledge necessary to: create a travel request for group travel, submit a claim, and create the associated expense report. <LMS-1954>","Active","Travel Management","TV3145","2017-02-03T13:23:49.160"
"LMS-1959","Umoja Travel Finance Integration","The purpose of this course is to provide participants with an overview of the Travel Expense and Finance Integration, including Processing Expense Reports, Reviewing Postings and Special Payments.
 <LMS-1959>","Active","Travel Management","TV3150","2017-02-03T13:23:49.160"
"LMS-1772","Umoja Organizational Management for HR Partners","TBD","Inactive","Organizational Management","Umoja Orga","2017-02-03T13:23:49.160"
"LMS-1775","Umoja Property Management Overview","The Umoja Property Management Overview course provides a high-level introduction to the  Property Management module in Umoja. <LMS-1775>","Active","Services Delivery and Property Management","SC119","2017-02-03T13:23:49.160"
"LMS-2108","Umoja Global Index Number Requestor","Umoja Global Index number Requestor","Inactive","Human Resources Administration","HR GINR","2017-02-03T13:23:49.160"
"LMS-2109","Umoja Academy Local Process Expert Train-the-Trainer in Financial Accounting","Umoja Academy Local Process Expert Train-the-Trainer in Financial Accounting","Active","Financial Accounting","LPET","2017-02-03T13:23:49.160"
"LMS-2110","Umoja Academy Local Process Expert Train-the-Trainer in Funds and Cost Management","Umoja Academy Local Process Expert Train-the-Trainer in Funds and Cost Management","Active","Funds and Cost Management","LPET","2017-02-03T13:23:49.160"
"LMS-2113","Umoja Academy Local Process Expert Train-the-Trainer in Logistics Execution","Umoja Academy Local Process Expert Train-the-Trainer in Logistics Execution","Active","Logistics Execution","LPET","2017-02-03T13:23:49.160"
"LMS-2114","Umoja Academy Local Process Expert Training in Organizational Management","Local Process Expert Train-the-Trainer in Organizational Management","Active","Organizational Management","LPE","2017-02-03T13:23:49.160"
