FunctionalArea,RoleID,RoleName,Lvl,CourseNo,LMSCode,CourseTitle,DeliveryMethod,CourseID,DurationHours,DurationLonghand
Benefits,BN.01,Benefits Insurance Administrator,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.01,Benefits Insurance Administrator,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.01,Benefits Insurance Administrator,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.01,Benefits Insurance Administrator,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.01,Benefits Insurance Administrator,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.01,Benefits Insurance Administrator,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.01,Benefits Insurance Administrator,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.02,Benefits Insurance Administrator IS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.02,Benefits Insurance Administrator IS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.02,Benefits Insurance Administrator IS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.02,Benefits Insurance Administrator IS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.02,Benefits Insurance Administrator IS,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.02,Benefits Insurance Administrator IS,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.02,Benefits Insurance Administrator IS,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.03,Benefits Insurance Administrator LS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.03,Benefits Insurance Administrator LS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.03,Benefits Insurance Administrator LS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.03,Benefits Insurance Administrator LS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.03,Benefits Insurance Administrator LS,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.03,Benefits Insurance Administrator LS,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.03,Benefits Insurance Administrator LS,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.04,Benefits Insurance Administrator Others,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.04,Benefits Insurance Administrator Others,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.04,Benefits Insurance Administrator Others,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.04,Benefits Insurance Administrator Others,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.04,Benefits Insurance Administrator Others,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.04,Benefits Insurance Administrator Others,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.04,Benefits Insurance Administrator Others,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
